feature,coeff
EXT_SOURCE_3,-0.08799221211387923
EXT_SOURCE_1,-0.1382638787609087
ANNUITY_CREDIT_RATIO,-0.3993635444186945
YEARS_EMPLOYED,-0.41861118446356715
AMT_GOODS_PRICE,-0.46762535482197504
IP_WORST_DPD_720D,-0.3944499802368446
YEARS_AGE,0.0948369207165256
GOODS_CREDIT_RATIO,-0.4432834420696546
B_DEBT_TO_CREDIT_RATIO,-0.2781792705383408
B_NUM_ACTIVE_CREDIT_720D,-0.4041658026410931
AMT_CREDIT,0.3899219945224723
REGION_RATING_CLIENT_W_CITY,-0.38529103741405224
CB_AVG_ATM_WITHDRAWAL_FREQ_6M,-0.6061673765200384
FLAG_DOCUMENT_3,-0.5239203078903755
EXT_SOURCE_WEIGHTED,-0.6700770387387495
PA_RATIO_APPROVED_LOANS,-0.2808772001515891
PA_AVG_RISK_WEIGHT_1080D,-0.21194887110322444
PA_RATIO_CREDIT_APPLICATION_Cash,-0.32425201865368597
PA_RATIO_CREDIT_APPLICATION_POS,-0.4002651846543548
PA_AVG_AMT_ANNUITY_POS,-0.5285300421392496
B_CREDIT_DURATION_MIN,-0.47900701135979484
OCCUPATION_GROUP,-0.17087249626966058
ORG_GROUP,-0.41269840257623724
NAME_INCOME_TYPE,-0.145103474073106
NAME_EDUCATION_TYPE,-0.45400063097583626
CODE_GENDER,-0.5332472237369958
NAME_FAMILY_STATUS,-0.294557188147298
IP_RATIO_LATE_PAYMENTS_2160D,-0.46877389034319183
IP_NUM_COMPLETED_LOANS,-0.43791866675681773
CB_WT_CREDIT_UTIL_TREND_3M_12M,-0.2648551816709018
